GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG8-DESC,MAT-PROG8-SCORE,MAT-PROG8-CI-LOWER,MAT-PROG8-CI-UPPER,MAT-DIS-PROG8-DESC,MAT-DIS-PROG8-SCORE,MAT-DIS-PROG8-CI-LOWER,MAT-DIS-PROG8-CI-UPPER,MAT-EBACC-ENT,MAT-DIS-EBACC-ENT,MAT-EBACC-95,MAT-EBACC-94,MAT-DIS-EBACC-95,MAT-DIS-EBACC-94,SCHOOL-URNS
SP00251,3278,School sponsor,The Haberdashers' Livery Company,South East and South London,3,539,29.0,34.7,2.2,14.5,3,0,3,0,0,0,0,0,3,Significantly below average,-0.14,-0.25,-0.04,Close to average,-0.38,-0.57,-0.19,38.8%,30.5%,17.8%,21.2%,10.2%,12.8%,135070;135073;135951
SP00257,3319,School sponsor,Harris Federation,National Lead,17,2327,28.2,41.2,2.1,32.4,17,2,15,0,0,0,1,3,13,Significantly above average,0.54,0.49,0.6,Significantly above average,0.43,0.35,0.52,58.9%,53.6%,30.5%,36.3%,24.5%,30.6%,131747;131897;132711;134225;135249;135311;135677;135816;135955;137121;137379;137549;138449;138495;139703;139906;140985
TR01520,4020,Multi-academy trust,The Hart Schools Trust Ltd,North West London and South Central,3,171,27.6,35.7,1.2,4.1,3,0,1,2,0,0,0,2,1,Significantly below average,-1.21,-1.4,-1.03,Significantly below average,-1.81,-2.15,-1.48,6.7%,1.6%,4.4%,4.4%,1.6%,1.6%,138225;139902;140037
TR01149,3531,Multi-academy trust,Inspiration Trust,East of England and North East London,3,375,27.1,27.2,4.8,15.5,3,1,2,0,0,0,2,1,0,Significantly above average,0.55,0.42,0.68,Significantly above average,0.18,-0.07,0.44,35.1%,15.8%,23.3%,25.4%,12.1%,12.1%,136204;137431;140188
TR01192,3586,Multi-academy trust,The Kemnal Academies Trust,South East and South London,13,1930,27.6,31,1.8,6.9,13,10,3,0,0,0,0,1,12,Significantly below average,-0.24,-0.29,-0.18,Significantly below average,-0.5,-0.61,-0.4,26.2%,20.2%,9.1%,10.9%,6.0%,7.0%,136156;136281;136304;136342;136456;136555;136720;137072;137096;138437;138620;138686;140105
TR01197,3594,Multi-academy trust,Kent Catholic Schools' Partnership,South East and South London,3,521,27.7,16.9,2.9,16.3,3,3,0,0,0,0,3,0,0,Significantly above average,0.36,0.25,0.47,Close to average,-0.05,-0.34,0.24,34.2%,15.9%,16.9%,19.6%,3.4%,5.7%,140537;140640;140874
TR01273,3684,Multi-academy trust,Landau Forte Charitable Trust,East Midlands and Humber,3,468,27.9,28,2.1,13.5,3,0,3,0,0,0,0,0,3,Close to average,-0.02,-0.14,0.09,Close to average,-0.27,-0.5,-0.04,18.8%,12.2%,11.5%,13.5%,7.6%,7.6%,135120;136136;137146
TR01297,3716,Multi-academy trust,Learning Schools Trust,South East and South London,3,397,28.6,24.7,2.3,21.2,3,1,2,0,0,0,0,1,2,Significantly below average,-0.4,-0.52,-0.27,Significantly below average,-0.88,-1.15,-0.62,28.2%,12.3%,16.0%,18.5%,5.9%,7.0%,136103;136104;139100
TR01302,3725,Multi-academy trust,Leigh Academies Trust,South East and South London,5,870,28.1,29,2.3,10.3,5,1,3,1,0,0,2,0,3,Significantly below average,-0.3,-0.38,-0.22,Significantly below average,-0.62,-0.79,-0.46,39.2%,29.7%,9.9%,11.9%,4.8%,6.2%,135297;135630;136205;140987;141309
SP00350,3895,School sponsor,Mercers Company, The,West Midlands,4,626,29.1,34.5,0.6,20.1,4,0,4,0,0,0,1,0,3,Close to average,-0.06,-0.16,0.04,Close to average,-0.29,-0.46,-0.11,67.5%,57.6%,28.9%,33.0%,18.8%,23.9%,133697;134993;135149;136172
TR01527,4036,Multi-academy trust,Northern Education Trust,North,7,932,27.8,45.4,1.2,3.8,7,0,7,0,0,0,4,1,2,Significantly below average,-0.17,-0.25,-0.09,Significantly below average,-0.49,-0.62,-0.36,51.7%,45.8%,11.5%,12.6%,5.4%,6.6%,136135;136146;139405;139673;140002;140035;141185
TR01530,4041,Multi-academy trust,Northern Schools Trust,Lancashire and West Yorkshire,3,352,28.3,57.4,0.3,13.6,3,0,1,2,0,0,0,2,1,Significantly below average,-0.3,-0.43,-0.17,Close to average,-0.37,-0.56,-0.19,16.5%,15.0%,6.5%,7.5%,4.7%,4.7%,131065;139588;139589
TR01553,4076,Multi-academy trust,Oasis Community Learning,National Lead,14,2032,26.8,50.4,1.2,24,14,0,14,0,0,0,1,1,12,Significantly below average,-0.13,-0.19,-0.08,Close to average,-0.31,-0.39,-0.23,31.0%,28.3%,10.3%,12.0%,7.1%,8.6%,134311;135176;135209;135628;135629;135654;135661;135663;135671;135721;135958;135968;136027;139995
SP00560,4105,School sponsor,Ormiston Academies Trust,National Lead,25,3450,27.6,38.6,2.9,9.3,25,2,23,0,0,0,8,1,16,Close to average,-0.04,-0.08,0,Close to average,-0.28,-0.35,-0.21,23.3%,16.8%,10.1%,11.7%,5.9%,7.2%,135234;135769;135960;135979;135980;136145;136185;136186;136187;136680;137109;137152;137196;137673;137674;138506;139403;139918;140032;140199;140364;140845;140864;141169;141269
TR01585,4119,Multi-academy trust,Outwood Grange Academies Trust,National Lead,9,1516,27.9,29.3,1.2,8.8,9,2,7,0,0,0,2,2,5,Significantly above average,0.48,0.42,0.54,Significantly above average,0.21,0.09,0.33,28.9%,19.1%,20.2%,21.0%,12.4%,13.1%,135961;135963;137004;137412;138247;138248;139277;139823;140415
TR01817,4397,Multi-academy trust,The Rosedale Hewens Academy Trust,North West London and South Central,4,177,26.9,36.2,1.1,64.4,4,2,0,2,0,0,1,0,3,Significantly above average,0.26,0.07,0.45,Close to average,-0.13,-0.46,0.2,37.8%,27.6%,20.4%,21.5%,11.4%,11.4%,137077;137078;138368;141035
TR00542,2743,Multi-academy trust,ALPHA ACADEMIES TRUST,West Midlands,4,334,27.3,45.5,2.1,12.3,4,1,1,2,0,0,1,1,2,Significantly below average,-0.21,-0.34,-0.08,Close to average,-0.31,-0.52,-0.1,39.8%,27.1%,17.9%,21.8%,10.8%,15.1%,136681;138256;139590;140633
TR02230,4885,Multi-academy trust,Swale Academies Trust,South East and South London,3,532,26.6,31.4,2.8,4.1,3,1,2,0,0,0,0,1,2,Close to average,-0.03,-0.14,0.08,Close to average,-0.45,-0.66,-0.25,22.7%,16.4%,4.6%,5.5%,3.1%,3.1%,136286;137687;139075
TR02239,4899,Multi-academy trust,Tapton School Academy Trust,East Midlands and Humber,3,588,28.1,30.4,2.6,6.3,3,1,2,0,0,0,1,0,2,Close to average,0.03,-0.07,0.13,Significantly below average,-0.62,-0.82,-0.43,31.8%,10.5%,22.5%,23.5%,5.1%,5.1%,138069;138414;140547
TR00567,2777,Multi-academy trust,The Co-operative Academies Trust,Lancashire and West Yorkshire,3,464,26.0,54.1,1.1,49.8,3,0,3,0,0,0,0,0,3,Close to average,0.02,-0.1,0.14,Close to average,-0.2,-0.38,-0.02,23.5%,21.9%,6.3%,7.1%,4.0%,5.2%,136102;136174;137065
TR00637,2864,Multi-academy trust,The Dean Trust,Lancashire and West Yorkshire,3,443,28.1,41.3,5.2,4.1,3,2,1,0,0,0,1,0,2,Significantly below average,-0.14,-0.25,-0.02,Significantly below average,-0.56,-0.75,-0.37,30.8%,25.4%,15.8%,18.8%,7.8%,9.9%,138123;138124;140412
TR00665,2928,Multi-academy trust,The Diocese of Westminster Academy Trust,North West London and South Central,6,1028,29.3,18.7,1.8,30.1,6,6,0,0,0,0,0,0,6,Significantly above average,0.31,0.23,0.38,Significantly above average,-0.13,-0.32,0.06,52.8%,44.3%,31.1%,35.9%,23.4%,26.6%,137895;137922;137925;137938;137994;137995
TR00726,3013,Multi-academy trust,The Education Fellowship Trust,North West London and South Central,4,567,28.0,23.8,1.4,18.5,4,0,4,0,0,0,0,4,0,Significantly below average,-0.18,-0.29,-0.08,Close to average,-0.36,-0.59,-0.14,42.2%,32.6%,15.9%,17.3%,8.9%,9.6%,138879;138885;139013;139961
TR01434,3908,Multi-academy trust,The Midland Academies Trust,West Midlands,3,490,28.0,32.7,2,2.9,3,1,2,0,0,0,0,0,3,Significantly below average,-0.69,-0.8,-0.58,Significantly below average,-1.13,-1.34,-0.93,21.0%,13.8%,7.1%,10.0%,1.9%,3.1%,136158;137079;138644
TR01688,4253,Multi-academy trust,The Priory Federation of Academies,East Midlands and Humber,4,645,28.9,18.3,2,9.1,4,0,4,0,0,0,0,0,4,Significantly above average,0.23,0.13,0.32,Close to average,-0.1,-0.34,0.14,42.9%,20.3%,27.8%,29.8%,10.2%,11.9%,135563;135564;135565;136194
TR01767,4338,Multi-academy trust,Redhill Academy Trust,East Midlands and Humber,3,475,28.7,26.3,1.1,2.7,3,1,2,0,0,0,1,0,2,Significantly above average,0.27,0.16,0.38,Significantly above average,0.11,-0.13,0.34,33.6%,24.5%,22.3%,24.9%,10.4%,14.0%,136361;137085;140992
TR01884,4482,Multi-academy trust,The Seckford Foundation Free Schools Trust,East of England and North East London,3,105,27.4,24.8,1.9,1.9,3,0,0,3,0,0,1,0,2,Significantly above average,0.45,0.2,0.69,Significantly above average,0.51,-0.02,1.03,59.8%,55.3%,24.4%,25.5%,15.8%,20.2%,138273;138274;140047
SP00471,5029,School sponsor,The Skinners' Company,South East and South London,3,419,28.9,36.5,1.9,32.2,3,1,2,0,0,0,1,0,2,Close to average,0.11,-0.02,0.23,Significantly above average,-0.12,-0.33,0.1,35.8%,19.4%,26.5%,27.5%,14.2%,15.5%,135888;136137;140595
TR02276,5049,Multi-academy trust,The Thinking Schools Academy Trust,South East and South London,3,398,30.6,30.9,0,15.3,3,2,1,0,0,0,1,1,1,Significantly above average,0.68,0.55,0.8,Significantly above average,0.39,0.16,0.63,63.0%,31.7%,58.0%,59.8%,28.7%,28.7%,136313;136594;139714
SP00386,5099,School sponsor,Transforming Education in Norfolk (the TEN Group),East of England and North East London,5,595,27.4,29.6,2.9,7.9,5,2,2,1,0,0,3,0,2,Significantly below average,-0.34,-0.44,-0.24,Significantly below average,-0.74,-0.93,-0.54,21.6%,14.8%,6.5%,6.8%,1.7%,1.7%,135904;137949;139572;140534;141086
TR02332,5128,Multi-academy trust,Tudor Grange Academies Trust,West Midlands,3,556,28.8,16,2.3,7.6,3,2,1,0,0,0,1,0,2,Significantly above average,0.15,0.05,0.26,Close to average,-0.43,-0.71,-0.15,54.9%,26.1%,38.4%,40.5%,14.3%,15.6%,135913;136310;140731
TR02347,5152,Multi-academy trust,University of Chester Academies Trust,West Midlands,4,375,27.3,37.9,3.2,5.1,4,1,3,0,0,0,0,2,2,Significantly below average,-0.51,-0.64,-0.38,Significantly below average,-0.93,-1.15,-0.71,31.4%,25.0%,9.2%,12.0%,5.6%,7.9%,135941;137582;139072;139708
TR02343,5143,Multi-academy trust,United Learning Trust,National Lead,26,3744,27.4,41.8,2.4,19.7,26,1,25,0,0,0,3,3,20,Significantly above average,0.22,0.18,0.26,Significantly above average,0.05,-0.01,0.12,21.1%,15.3%,10.8%,12.2%,7.3%,8.4%,130912;131749;131895;131896;132727;134224;134814;134815;135071;135262;135296;135364;135365;135620;135621;135649;135760;135962;135966;137782;139258;139282;140007;140008;140515;140679
TR02376,5195,Multi-academy trust,Wakefield City Academies Trust,Lancashire and West Yorkshire,5,778,27.3,36.8,1.8,10.7,5,3,2,0,0,0,3,1,1,Significantly below average,-0.54,-0.63,-0.45,Significantly below average,-0.85,-1.01,-0.7,20.9%,16.5%,8.8%,9.6%,4.4%,5.3%,136394;137316;137400;139335;140177
TR02700,5316,Multi-academy trust,White Rose Academies Trust,Lancashire and West Yorkshire,3,403,26.0,48.1,0.7,28.3,3,0,3,0,0,0,3,0,0,Close to average,0.11,-0.03,0.24,Significantly above average,-0.03,-0.22,0.17,25.8%,18.6%,9.9%,14.1%,5.2%,8.8%,135935;136826;139646
TR02518,5385,Multi-academy trust,Woodard Academies Trust,South East and South London,5,763,27.9,23.7,1.4,13.1,5,0,5,0,0,0,0,1,4,Significantly below average,-0.4,-0.49,-0.31,Significantly below average,-0.82,-1.01,-0.62,33.8%,15.9%,14.9%,17.0%,3.2%,5.4%,135744;135745;136824;136923;139658
