GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG-READ-DESC,MAT-PROG-READ-SCORE,MAT-PROG-READ-CI-LOWER,MAT-PROG-READ-CI-UPPER,MAT-DIS-PROG-READ-DESC,MAT-DIS-PROG-READ-SCORE,MAT-DIS-PROG-READ-CI-LOWER,MAT-DIS-PROG-READ-CI-UPPER,MAT-PROG-WRITE-DESC,MAT-PROG-WRITE-SCORE,MAT-PROG-WRITE-CI-LOWER,MAT-PROG-WRITE-CI-UPPER,MAT-DIS-PROG-WRITE-DESC,MAT-DIS-PROG-WRITE-SCORE,MAT-DIS-PROG-WRITE-CI-LOWER,MAT-DIS-PROG-WRITE-CI-UPPER,MAT-PROG-MATH-DESC,MAT-PROG-MATH-SCORE,MAT-PROG-MATH-CI-LOWER,MAT-PROG-MATH-CI-UPPER,MAT-DIS-PROG-MATH-DESC,MAT-DIS-PROG-MATH-SCORE,MAT-DIS-PROG-MATH-CI-LOWER,MAT-DIS-PROG-MATH-CI-UPPER,SCHOOL-URNS
TR00726,3013,Multi-academy trust,The Education Fellowship Trust,North West London and South Central,8,353,15.1,51.8,2,16.7,8,1,7,0,0,0,0,8,0,Significantly below average,-2.9,-3.5,-2.2,Significantly below average,-3.4,-4.4,-2.5,Significantly below average,-1.3,-1.9,-0.6,Significantly below average,-1.9,-2.9,-1,Significantly below average,-3,-3.6,-2.4,Significantly below average,-3.7,-4.6,-2.8,138886;138887;138984;139386;139424;139551;139552;139757
TR00735,3025,Multi-academy trust,The Elliot Foundation Academies Trust,East of England and North East London,15,761,14.9,50.9,2.4,58.2,15,4,11,0,0,0,4,10,1,Significantly below average,-0.6,-1.1,-0.2,Close to average,-1,-1.7,-0.4,Significantly above average,0.6,0.1,1,Close to average,0.2,-0.4,0.9,Close to average,0.3,-0.1,0.7,Close to average,-0.6,-1.3,0,138420;138425;138888;138889;139305;139439;139565;139633;139817;139875;139930;140173;140634;140671;141055
TR00800,3111,Multi-academy trust,Flying High Trust,East Midlands and Humber,3,148,14.8,31.1,0,3.4,3,2,1,0,0,0,3,0,0,Significantly above average,3.5,2.5,4.5,Significantly above average,3.9,2,5.9,Significantly above average,2.8,1.9,3.8,Significantly above average,3.3,1.4,5.3,Significantly above average,1.9,1,2.8,Significantly above average,2.2,0.4,4,140282;140398;140637
TR00873,3201,Multi-academy trust,The Good Shepherd Trust,South East and South London,5,164,16,25.6,2.4,9.8,5,1,4,0,0,0,4,1,0,Significantly above average,1.9,0.9,2.9,Significantly above average,1.4,-0.6,3.5,Close to average,0.4,-0.6,1.3,Close to average,0.4,-1.6,2.4,Significantly above average,1.7,0.8,2.6,Significantly above average,1.5,-0.4,3.4,139721;139920;140026;140028;141294
SP00250,4972,School sponsor,The Griffin Schools Trust,West Midlands,9,435,15.2,43.4,1.1,18.2,9,0,9,0,0,0,4,4,1,Close to average,0.4,-0.1,1,Close to average,0.1,-0.8,1.1,Close to average,0.4,-0.2,1,Close to average,0.1,-0.8,1.1,Close to average,0.5,0,1.1,Close to average,-0.5,-1.3,0.4,138431;139001;139437;139723;139927;139928;140004;140159;140186
SP01134,4974,School sponsor,The Hamwic Trust,South East and South London,3,156,16.2,38.5,5.1,14.7,3,2,1,0,0,0,0,2,1,Significantly above average,1.4,0.4,2.4,Significantly above average,1.7,0,3.5,Close to average,0.6,-0.4,1.6,Close to average,1.3,-0.5,3,Close to average,0.3,-0.6,1.3,Close to average,0,-1.6,1.6,139632;139747;140263
TR01151,3534,Multi-academy trust,Inspire Multi Academy Trust,North,3,101,15.1,51.5,0,0,3,1,2,0,0,0,0,3,0,Close to average,-0.8,-2,0.4,Close to average,-1.7,-3.5,0.1,Close to average,-1.1,-2.2,0.1,Close to average,-1.9,-3.7,-0.1,Close to average,-0.2,-1.3,0.9,Close to average,-0.7,-2.4,1,139103;139389;139391
TR01596,4134,Multi-academy trust,The Park Federation Academy Trust,North West London and South Central,4,388,15.3,36.9,1.8,73.7,4,1,3,0,0,0,2,1,1,Significantly below average,-0.7,-1.3,-0.1,Close to average,-0.6,-1.7,0.5,Significantly above average,2.4,1.7,3,Significantly above average,2.3,1.2,3.4,Significantly above average,1.7,1.1,2.3,Significantly above average,1.4,0.4,2.4,138621;139333;140335;140857
TR01680,4245,Multi-academy trust,The Primary First Trust,South East and South London,3,166,16.7,21.1,4.2,9.6,3,1,2,0,0,0,3,0,0,Close to average,0.1,-0.9,1,Close to average,1.3,-0.9,3.6,Significantly above average,1.1,0.2,2,Close to average,-0.1,-2.3,2.1,Close to average,0.3,-0.6,1.1,Close to average,0.9,-1.2,2.9,140321;141114;141224
TR02610,5013,Multi-academy trust,The Rainbow Multi Academy Trust,South West,3,94,16.8,36.2,0,2.1,3,3,0,0,0,0,3,0,0,Close to average,-1.1,-2.4,0.2,Close to average,1,-1.2,3.2,Close to average,-0.7,-1.9,0.5,Close to average,0.1,-2.1,2.3,Significantly below average,-2.3,-3.4,-1.2,Close to average,-1.3,-3.4,0.7,140741;140781;140790
